case,title,family,api,size,median_sec,min_sec,max_sec,result_rows,speedup_vs_baseline
df_rdd_aggregations,Multiple Aggregations,df_vs_rdd,DataFrame,2000000,0.25823295800364576,0.24967649998143315,0.28119179100031033,4000,2.3918025598832164
df_rdd_aggregations,Multiple Aggregations,df_vs_rdd,RDD,2000000,0.617642249999335,0.5847617909894325,0.6481026250112336,4000,1.0
df_rdd_aggregations,Multiple Aggregations,df_vs_rdd,DataFrame,8000000,0.2393439580046106,0.22734616699744947,0.24098820801009424,4000,7.971921346630979
df_rdd_aggregations,Multiple Aggregations,df_vs_rdd,RDD,8000000,1.908031208004104,1.8142829170101322,1.9333731249789707,4000,1.0
df_rdd_aggregations,Multiple Aggregations,df_vs_rdd,DataFrame,20000000,0.23197095800423995,0.22899279100238346,0.25321262498619035,4000,18.690340572385328
df_rdd_aggregations,Multiple Aggregations,df_vs_rdd,RDD,20000000,4.335616208001738,4.315156749973539,4.454454916995019,4000,1.0
df_rdd_window_topn,Window Top-N,df_vs_rdd,DataFrame,2000000,0.31108737501199357,0.2960957920004148,0.32112995799980126,9000,2.5189565599062207
df_rdd_window_topn,Window Top-N,df_vs_rdd,RDD,2000000,0.7836155839904677,0.7163186249963474,0.8818212499900255,9000,1.0
df_rdd_window_topn,Window Top-N,df_vs_rdd,DataFrame,8000000,0.4156312919803895,0.383049124997342,0.439097499998752,9000,6.1982574452362
df_rdd_window_topn,Window Top-N,df_vs_rdd,RDD,8000000,2.57618974999059,2.5264278749818914,2.629802417010069,9000,1.0
df_rdd_window_topn,Window Top-N,df_vs_rdd,DataFrame,20000000,1.0329162499983795,1.010619874985423,1.1229235419887118,9000,5.950125070660327
df_rdd_window_topn,Window Top-N,df_vs_rdd,RDD,20000000,6.145980875007808,5.983645665983204,6.293005999992602,9000,1.0
df_rdd_nested_types,Nested Types,df_vs_rdd,DataFrame,2000000,0.2176898329926189,0.21193370799301192,0.22029354199185036,2000000,6.993834507950317
df_rdd_nested_types,Nested Types,df_vs_rdd,RDD,2000000,1.5224866660137195,1.4780762089940254,1.5815377500257455,2000000,1.0
df_rdd_nested_types,Nested Types,df_vs_rdd,DataFrame,8000000,0.38023641699692234,0.3718037919898052,0.4948994159931317,8000000,14.454331579831488
df_rdd_nested_types,Nested Types,df_vs_rdd,RDD,8000000,5.496063250000589,5.424891165981535,5.6143765410233755,8000000,1.0
df_rdd_nested_types,Nested Types,df_vs_rdd,DataFrame,20000000,0.929839374992298,0.8600850419898052,1.0779311250080355,20000000,14.486868140126495
df_rdd_nested_types,Nested Types,df_vs_rdd,RDD,20000000,13.470460417011054,13.167649499984691,13.697499916015659,20000000,1.0
sql_df_projection_chain,SQL Projection vs withColumn Chain,sql_vs_df,SQL,2000000,0.3756706660205964,0.36267633401439525,0.38515208300668746,3,1.7035812425018662
sql_df_projection_chain,SQL Projection vs withColumn Chain,sql_vs_df,DataFrame,2000000,0.6399854999908712,0.6130504579923581,0.6899492499942426,3,1.0
sql_df_projection_chain,SQL Projection vs withColumn Chain,sql_vs_df,SQL,8000000,0.7116302919748705,0.6964303749846295,0.7670133339997847,3,1.348157548689057
sql_df_projection_chain,SQL Projection vs withColumn Chain,sql_vs_df,DataFrame,8000000,0.9593897500017192,0.9457277500187047,0.9799561670224648,3,1.0
sql_df_projection_chain,SQL Projection vs withColumn Chain,sql_vs_df,SQL,20000000,1.599629417003598,1.558686874981504,1.6500422919925768,3,1.2066866472330835
sql_df_projection_chain,SQL Projection vs withColumn Chain,sql_vs_df,DataFrame,20000000,1.9302514580194838,1.7682288749783766,2.00862408298417,3,1.0
sql_df_case_vs_union,SQL CASE vs DataFrame filter+union,sql_vs_df,SQL,2000000,0.32949845801340416,0.31090345900156535,0.3567746249900665,21,1.4512956141291202
sql_df_case_vs_union,SQL CASE vs DataFrame filter+union,sql_vs_df,DataFrame,2000000,0.47819966697716154,0.44871812500059605,0.5438509160012472,21,1.0
sql_df_case_vs_union,SQL CASE vs DataFrame filter+union,sql_vs_df,SQL,8000000,0.6558164160232991,0.632395250024274,0.7435228750109673,21,0.9068303803895351
sql_df_case_vs_union,SQL CASE vs DataFrame filter+union,sql_vs_df,DataFrame,8000000,0.59471425000811,0.5913101249898318,0.6196849590050988,21,1.0
sql_df_case_vs_union,SQL CASE vs DataFrame filter+union,sql_vs_df,SQL,20000000,1.3795957079855725,1.3320268340175971,1.4293732499936596,21,0.6257924839785584
sql_df_case_vs_union,SQL CASE vs DataFrame filter+union,sql_vs_df,DataFrame,20000000,0.8633406249864493,0.8136681659962051,1.0641483749786858,21,1.0
