case,family,api,size,run,duration_sec
df_rdd_nested_types,df_vs_rdd,DataFrame,20000000,1,0.8600850419898052
df_rdd_nested_types,df_vs_rdd,DataFrame,20000000,2,0.9302103750233073
df_rdd_nested_types,df_vs_rdd,DataFrame,20000000,3,0.929839374992298
df_rdd_nested_types,df_vs_rdd,DataFrame,20000000,4,0.8974307919852436
df_rdd_nested_types,df_vs_rdd,DataFrame,20000000,5,1.0779311250080355
df_rdd_nested_types,df_vs_rdd,RDD,20000000,1,13.167649499984691
df_rdd_nested_types,df_vs_rdd,RDD,20000000,2,13.312206792004872
df_rdd_nested_types,df_vs_rdd,RDD,20000000,3,13.697499916015659
df_rdd_nested_types,df_vs_rdd,RDD,20000000,4,13.470460417011054
df_rdd_nested_types,df_vs_rdd,RDD,20000000,5,13.504115749994526
sql_df_projection_chain,sql_vs_df,SQL,2000000,1,0.3756706660205964
sql_df_projection_chain,sql_vs_df,SQL,2000000,2,0.3749479170073755
sql_df_projection_chain,sql_vs_df,SQL,2000000,3,0.38515208300668746
sql_df_projection_chain,sql_vs_df,SQL,2000000,4,0.383876167004928
sql_df_projection_chain,sql_vs_df,SQL,2000000,5,0.36267633401439525
sql_df_projection_chain,sql_vs_df,DataFrame,2000000,1,0.6611885410093237
sql_df_projection_chain,sql_vs_df,DataFrame,2000000,2,0.6899492499942426
sql_df_projection_chain,sql_vs_df,DataFrame,2000000,3,0.6130504579923581
sql_df_projection_chain,sql_vs_df,DataFrame,2000000,4,0.6338192500115838
sql_df_projection_chain,sql_vs_df,DataFrame,2000000,5,0.6399854999908712
sql_df_projection_chain,sql_vs_df,SQL,8000000,1,0.7670133339997847
sql_df_projection_chain,sql_vs_df,SQL,8000000,2,0.7035137079947162
sql_df_projection_chain,sql_vs_df,SQL,8000000,3,0.7116302919748705
sql_df_projection_chain,sql_vs_df,SQL,8000000,4,0.7180521660193335
sql_df_projection_chain,sql_vs_df,SQL,8000000,5,0.6964303749846295
sql_df_projection_chain,sql_vs_df,DataFrame,8000000,1,0.9799561670224648
sql_df_projection_chain,sql_vs_df,DataFrame,8000000,2,0.9482871669752058
sql_df_projection_chain,sql_vs_df,DataFrame,8000000,3,0.9593897500017192
sql_df_projection_chain,sql_vs_df,DataFrame,8000000,4,0.970339082996361
sql_df_projection_chain,sql_vs_df,DataFrame,8000000,5,0.9457277500187047
sql_df_projection_chain,sql_vs_df,SQL,20000000,1,1.6500422919925768
sql_df_projection_chain,sql_vs_df,SQL,20000000,2,1.599629417003598
